timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652708028843,245,Get All Activities Request,200,OK,Endurance Test Group 1-2,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,245,0,0
1652708028865,243,Get All Activities Request,200,OK,Endurance Test Group 1-13,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,243,0,0
1652708028899,239,Get All Activities Request,200,OK,Endurance Test Group 1-19,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,239,0,0
1652708028906,240,Get All Activities Request,200,OK,Endurance Test Group 1-5,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,240,0,0
1652708028925,242,Get All Activities Request,200,OK,Endurance Test Group 1-14,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,242,0,0
1652708028935,244,Get All Activities Request,200,OK,Endurance Test Group 1-6,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,244,0,0
1652708028949,246,Get All Activities Request,200,OK,Endurance Test Group 1-15,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,246,0,0
1652708028954,245,Get All Activities Request,200,OK,Endurance Test Group 1-10,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,245,0,0
1652708028959,240,Get All Activities Request,200,OK,Endurance Test Group 1-20,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,240,0,0
1652708028968,239,Get All Activities Request,200,OK,Endurance Test Group 1-16,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,239,0,0
1652708029041,250,Get All Activities Request,200,OK,Endurance Test Group 1-7,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,250,0,0
1652708029048,243,Get All Activities Request,200,OK,Endurance Test Group 1-8,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,243,0,0
1652708029042,249,Get All Activities Request,200,OK,Endurance Test Group 1-17,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,249,0,0
1652708029041,250,Get All Activities Request,200,OK,Endurance Test Group 1-12,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,250,0,0
1652708029034,257,Get All Activities Request,200,OK,Endurance Test Group 1-11,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,257,0,0
1652708029038,253,Get All Activities Request,200,OK,Endurance Test Group 1-18,text,true,,352,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,253,0,0
1652708029059,242,Get All Activities Request,200,OK,Endurance Test Group 1-4,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,242,0,0
1652708029062,241,Get All Activities Request,200,OK,Endurance Test Group 1-3,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,241,0,0
1652708029062,243,Get All Activities Request,200,OK,Endurance Test Group 1-9,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,243,0,0
